block,link,new_confirmed,confirmed,active,recovered,deceased
Agioan,index.html,0,0,0,0,0
Ara Sadar,index.html,0,7,7,0,0
Barhara,index.html,0,1,0,1,0
Bihiya,index.html,0,1,1,0,0
Charpokhri,index.html,0,0,0,0,0
Garhani,index.html,0,0,0,0,0
Jagdishpur,index.html,0,0,0,0,0
Koilwar,index.html,0,0,0,0,0
Piro,index.html,0,0,0,0,0
Sahar,index.html,0,0,0,0,0
Sandesh,index.html,0,0,0,0,0
Shahpur,index.html,0,0,0,0,0
Tarari,index.html,0,0,0,0,0
Udwantnagar,index.html,0,0,0,0,0
Total,index.html,0,9,8,1,0
