block,link,new_confirmed,confirmed,active,recovered,deceased
Arwal,index.html,0,3,3,0,0
Sonbhadra Banshi Surypur,index.html,0,0,0,0,0
Kaler,index.html,0,0,0,0,0
Karpi,index.html,0,0,0,0,0
Kurtha,index.html,0,1,1,0,0
Total,index.html,0,4,4,0,0
