block,link,new_confirmed,confirmed,active,recovered,deceased
Amarpur,index.html,0,1,1,0,0
Banka,index.html,0,1,1,0,0
Barahat,index.html,0,0,0,0,0
Belhar,index.html,0,0,0,0,0
Bounsi,index.html,0,0,0,0,0
Chandan,index.html,0,0,0,0,0
Dhoraiya,index.html,0,0,0,0,0
Fullidumar,index.html,0,0,0,0,0
Katoriya,index.html,0,0,0,0,0
Rajoun,index.html,0,0,0,0,0
Shambhuganj,index.html,0,0,0,0,0
Total,index.html,0,2,2,0,0
