block,link,new_confirmed,confirmed,active,recovered,deceased
Aurangabad,index.html,0,7,7,0,0
Barun,index.html,0,0,0,0,0
Daudnagar,index.html,0,0,0,0,0
Deo,index.html,0,0,0,0,0
Goh,index.html,0,0,0,0,0
Haspura,index.html,0,0,0,0,0
Kutumba,index.html,0,0,0,0,0
Madanpur,index.html,0,0,0,0,0
Nabinagar,index.html,0,0,0,0,0
Obra,index.html,0,0,0,0,0
Rafiganj,index.html,0,0,0,0,0
Total,index.html,0,7,7,0,0
