block,link,new_confirmed,confirmed,active,recovered,deceased
Adhaura,index.html,0,0,0,0,0
Bhabhua,index.html,0,8,8,0,0
Bhagwanpur,index.html,0,0,0,0,0
Chainpur,index.html,0,10,10,0,0
Chand,index.html,0,0,0,0,0
Durgawati,index.html,0,0,0,0,0
Kudra,index.html,0,0,0,0,0
Mohania,index.html,0,0,0,0,0
Nuawon,index.html,0,0,0,0,0
Ramgarh,index.html,0,0,0,0,0
Rampur,index.html,0,0,0,0,0
Total,index.html,0,18,18,0,0
